gene,log2FC,padj
ACAP3,-0.2200181746031733,0.31610516877656103
ACAT1,0.5287657142857132,3.666564181061273e-06
ACAT2,0.5062476190476213,0.0022372477212564286
ACBD3,-0.4424178571428552,0.022689711390171532
ACBD4,0.33003007936507966,0.05373984768331511
ACBD5,-0.05404178571428542,0.7048395934034773
ACBD6,0.5037859523809525,0.00039574393564945667
ACCS,0.0797660317460318,0.7194848813605372
ACD,0.09727801587301599,0.6464885398943166
ACE,0.1162793253968255,0.4384143224552094
ACER3,1.8100454285714296,1.2522179051183612e-08
ACHE,1.4770050000000001,0.00030676584160227926
ACIN1,0.08543579365079346,0.5018374465592537
ACKR1,1.402373492063492,0.037133345032746005
ACKR1 /// CADM3,0.3355775396825389,0.06390923806035298
ACKR3,-3.666060714285715,4.303577600697807e-06
ACKR3 /// AK023507,-1.2398169841269837,0.0018817957717652573
ACKR4,0.07119166666666699,0.6216719214330408
ACLY,0.4664191005290981,0.001230726097019509
ACMSD,0.04956968253968208,0.48474147981184434
ACN9,0.10675666666666839,0.7703752380740757
ACO1,-0.13857988095238039,0.416042247552696
ACO2,1.401885952380951,1.1929647915139452e-08
ACOT1 /// ACOT2,1.8791128571428573,2.8324024653895475e-09
ACOT11,0.4398404960317448,0.008341631930032203
